STATEFP,COUNTYFP,POSTALCODE,COUNTY,MEDIAN_INCOME
17,089,IL,Kane County,"79,834.00"
17,091,IL,Kankakee County,"53,884.00"
17,093,IL,Kendall County,"93,345.00"
17,095,IL,Knox County,"44,553.00"
17,097,IL,Lake County,"87,336.00"
17,099,IL,La Salle County,"54,063.00"
17,101,IL,Lawrence County,"43,767.00"
17,103,IL,Lee County,"54,915.00"
17,105,IL,Livingston County,"59,323.00"
17,107,IL,Logan County,"52,959.00"
17,109,IL,McDonough County,"42,887.00"
17,111,IL,McHenry County,"86,268.00"
17,113,IL,McLean County,"67,087.00"
17,115,IL,Macon County,"50,684.00"
17,117,IL,Macoupin County,"53,409.00"
17,119,IL,Madison County,"60,121.00"
17,121,IL,Marion County,"46,096.00"
17,123,IL,Marshall County,"57,422.00"
17,125,IL,Mason County,"48,764.00"
17,127,IL,Massac County,"43,783.00"
17,129,IL,Menard County,"74,872.00"
17,131,IL,Mercer County,"58,384.00"
17,133,IL,Monroe County,"88,481.00"
17,135,IL,Montgomery County,"53,138.00"
17,137,IL,Morgan County,"48,976.00"
17,139,IL,Moultrie County,"59,901.00"
17,141,IL,Ogle County,"61,794.00"
17,143,IL,Peoria County,"56,478.00"
17,145,IL,Perry County,"49,965.00"
17,147,IL,Piatt County,"67,460.00"
17,149,IL,Pike County,"47,815.00"
17,151,IL,Pope County,"43,053.00"
17,153,IL,Pulaski County,"38,400.00"
17,155,IL,Putnam County,"66,319.00"
17,157,IL,Randolph County,"53,607.00"
17,159,IL,Richland County,"48,152.00"
17,161,IL,Rock Island County,"52,642.00"
17,163,IL,St. Clair County,"58,222.00"
17,165,IL,Saline County,"40,761.00"
17,167,IL,Sangamon County,"62,242.00"
17,169,IL,Schuyler County,"52,018.00"
17,171,IL,Scott County,"55,198.00"
17,173,IL,Shelby County,"56,509.00"
17,175,IL,Stark County,"52,651.00"
17,177,IL,Stephenson County,"47,357.00"
17,179,IL,Tazewell County,"61,508.00"
17,181,IL,Union County,"49,716.00"
17,183,IL,Vermilion County,"44,638.00"
17,185,IL,Wabash County,"53,414.00"
17,187,IL,Warren County,"53,532.00"
17,189,IL,Washington County,"66,937.00"
17,191,IL,Wayne County,"50,471.00"
17,193,IL,White County,"49,507.00"
17,195,IL,Whiteside County,"57,197.00"
17,197,IL,Will County,"86,108.00"
17,199,IL,Williamson County,"46,187.00"
17,201,IL,Winnebago County,"53,795.00"
17,203,IL,Woodford County,"72,247.00"
18,000,IN,Indiana,"55,725.00"
18,001,IN,Adams County,"56,693.00"
18,003,IN,Allen County,"54,473.00"
18,005,IN,Bartholomew County,"63,067.00"
18,007,IN,Benton County,"51,649.00"
18,009,IN,Blackford County,"45,161.00"
18,011,IN,Boone County,"85,876.00"
18,013,IN,Brown County,"60,944.00"
18,015,IN,Carroll County,"57,092.00"
18,017,IN,Cass County,"48,598.00"
18,019,IN,Clark County,"56,774.00"
18,021,IN,Clay County,"52,699.00"
18,023,IN,Clinton County,"51,730.00"
18,025,IN,Crawford County,"44,152.00"
18,027,IN,Daviess County,"55,434.00"
18,029,IN,Dearborn County,"66,502.00"
18,031,IN,Decatur County,"57,441.00"
18,033,IN,De Kalb County,"58,987.00"
18,035,IN,Delaware County,"43,096.00"
18,037,IN,Dubois County,"62,126.00"
18,039,IN,Elkhart County,"59,251.00"
18,041,IN,Fayette County,"47,737.00"
18,043,IN,Floyd County,"64,992.00"
18,045,IN,Fountain County,"53,493.00"
18,047,IN,Franklin County,"62,251.00"
18,049,IN,Fulton County,"52,798.00"
18,051,IN,Gibson County,"56,960.00"
18,053,IN,Grant County,"45,138.00"
18,055,IN,Greene County,"46,835.00"
18,057,IN,Hamilton County,"101,740.00"
18,059,IN,Hancock County,"73,831.00"
18,061,IN,Harrison County,"60,379.00"
18,063,IN,Hendricks County,"80,834.00"
18,065,IN,Henry County,"50,183.00"
18,067,IN,Howard County,"55,365.00"
18,069,IN,Huntington County,"53,809.00"
18,071,IN,Jackson County,"55,518.00"
18,073,IN,Jasper County,"66,720.00"
18,075,IN,Jay County,"48,392.00"
18,077,IN,Jefferson County,"51,031.00"
18,079,IN,Jennings County,"51,560.00"
18,081,IN,Johnson County,"69,880.00"
18,083,IN,Knox County,"48,606.00"
18,085,IN,Kosciusko County,"57,367.00"
18,087,IN,Lagrange County,"67,498.00"
18,089,IN,Lake County,"55,280.00"
18,091,IN,La Porte County,"52,095.00"
18,093,IN,Lawrence County,"53,187.00"
18,095,IN,Madison County,"49,522.00"
18,097,IN,Marion County,"48,409.00"
18,099,IN,Marshall County,"55,766.00"
18,101,IN,Martin County,"55,444.00"
18,103,IN,Miami County,"47,624.00"
18,105,IN,Monroe County,"48,883.00"
18,107,IN,Montgomery County,"53,700.00"
18,109,IN,Morgan County,"66,151.00"
18,111,IN,Newton County,"53,060.00"
18,113,IN,Noble County,"61,341.00"
18,115,IN,Ohio County,"58,022.00"
18,117,IN,Orange County,"44,968.00"
18,119,IN,Owen County,"49,731.00"
18,121,IN,Parke County,"49,639.00"
18,123,IN,Perry County,"52,332.00"
18,125,IN,Pike County,"54,265.00"
18,127,IN,Porter County,"69,298.00"
18,129,IN,Posey County,"68,162.00"
18,131,IN,Pulaski County,"49,730.00"
18,133,IN,Putnam County,"54,718.00"
18,135,IN,Randolph County,"46,441.00"
18,137,IN,Ripley County,"57,436.00"
18,139,IN,Rush County,"53,271.00"
18,141,IN,St. Joseph County,"54,674.00"
18,143,IN,Scott County,"44,913.00"
18,145,IN,Shelby County,"57,193.00"
18,147,IN,Spencer County,"56,862.00"
18,149,IN,Starke County,"49,972.00"
18,151,IN,Steuben County,"58,295.00"
18,153,IN,Sullivan County,"47,554.00"
18,155,IN,Switzerland County,"47,713.00"
18,157,IN,Tippecanoe County,"52,269.00"
18,159,IN,Tipton County,"60,896.00"
18,161,IN,Union County,"50,300.00"
18,163,IN,Vanderburgh County,"50,500.00"
18,165,IN,Vermillion County,"49,287.00"
18,167,IN,Vigo County,"48,335.00"
18,169,IN,Wabash County,"51,487.00"
18,171,IN,Warren County,"60,596.00"
18,173,IN,Warrick County,"75,534.00"
18,175,IN,Washington County,"44,534.00"
18,177,IN,Wayne County,"45,130.00"
18,179,IN,Wells County,"60,010.00"
18,181,IN,White County,"58,380.00"
18,183,IN,Whitley County,"67,758.00"
19,000,IA,Iowa,"60,071.00"
19,001,IA,Adair County,"54,282.00"
19,003,IA,Adams County,"51,577.00"
19,005,IA,Allamakee County,"53,359.00"
19,007,IA,Appanoose County,"44,298.00"
19,009,IA,Audubon County,"51,210.00"
19,011,IA,Benton County,"62,799.00"
19,013,IA,Black Hawk County,"52,320.00"
19,015,IA,Boone County,"63,099.00"
19,017,IA,Bremer County,"74,646.00"
19,019,IA,Buchanan County,"59,724.00"
19,021,IA,Buena Vista County,"52,683.00"
19,023,IA,Butler County,"57,971.00"
19,025,IA,Calhoun County,"54,865.00"
19,027,IA,Carroll County,"60,531.00"
19,029,IA,Cass County,"50,356.00"
19,031,IA,Cedar County,"67,597.00"
19,033,IA,Cerro Gordo County,"51,939.00"
19,035,IA,Cherokee County,"56,312.00"
19,037,IA,Chickasaw County,"64,190.00"
19,039,IA,Clarke County,"52,541.00"
19,041,IA,Clay County,"56,338.00"
19,043,IA,Clayton County,"53,968.00"
19,045,IA,Clinton County,"51,317.00"
19,047,IA,Crawford County,"54,828.00"
19,049,IA,Dallas County,"87,267.00"
19,051,IA,Davis County,"54,830.00"
19,053,IA,Decatur County,"41,101.00"
19,055,IA,Delaware County,"61,342.00"
19,057,IA,Des Moines County,"51,805.00"
19,059,IA,Dickinson County,"55,603.00"
19,061,IA,Dubuque County,"60,367.00"
19,063,IA,Emmet County,"51,497.00"
19,065,IA,Fayette County,"50,893.00"
19,067,IA,Floyd County,"53,811.00"
19,069,IA,Franklin County,"59,367.00"
19,071,IA,Fremont County,"54,658.00"
19,073,IA,Greene County,"51,861.00"
19,075,IA,Grundy County,"65,060.00"
19,077,IA,Guthrie County,"60,306.00"
19,079,IA,Hamilton County,"56,738.00"
19,081,IA,Hancock County,"60,859.00"
19,083,IA,Hardin County,"55,303.00"
19,085,IA,Harrison County,"60,044.00"
19,087,IA,Henry County,"55,856.00"
19,089,IA,Howard County,"53,500.00"
19,091,IA,Humboldt County,"60,166.00"
19,093,IA,Ida County,"60,312.00"
19,095,IA,Iowa County,"64,188.00"
19,097,IA,Jackson County,"54,663.00"
19,099,IA,Jasper County,"60,378.00"
19,101,IA,Jefferson County,"46,715.00"
19,103,IA,Johnson County,"64,387.00"
19,105,IA,Jones County,"55,405.00"
19,107,IA,Keokuk County,"52,122.00"
19,109,IA,Kossuth County,"55,486.00"
19,111,IA,Lee County,"48,241.00"
19,113,IA,Linn County,"64,878.00"
19,115,IA,Louisa County,"49,585.00"
19,117,IA,Lucas County,"49,956.00"
19,119,IA,Lyon County,"69,048.00"
19,121,IA,Madison County,"74,794.00"
19,123,IA,Mahaska County,"56,492.00"
19,125,IA,Marion County,"63,491.00"
19,127,IA,Marshall County,"59,552.00"
19,129,IA,Mills County,"64,271.00"
19,131,IA,Mitchell County,"59,558.00"
19,133,IA,Monona County,"50,530.00"
19,135,IA,Monroe County,"56,541.00"
19,137,IA,Montgomery County,"49,966.00"
19,139,IA,Muscatine County,"58,465.00"
19,141,IA,O'Brien County,"53,147.00"
19,143,IA,Osceola County,"60,627.00"
19,145,IA,Page County,"54,313.00"
19,147,IA,Palo Alto County,"55,322.00"
19,149,IA,Plymouth County,"66,360.00"
19,151,IA,Pocahontas County,"55,865.00"
19,153,IA,Polk County,"68,479.00"
19,155,IA,Pottawattamie County,"56,337.00"
19,157,IA,Poweshiek County,"56,170.00"
19,159,IA,Ringgold County,"48,754.00"
19,161,IA,Sac County,"56,698.00"
19,163,IA,Scott County,"59,865.00"
19,165,IA,Shelby County,"58,862.00"
19,167,IA,Sioux County,"70,162.00"
19,169,IA,Story County,"57,464.00"
19,171,IA,Tama County,"56,954.00"
19,173,IA,Taylor County,"47,781.00"
19,175,IA,Union County,"49,887.00"
19,177,IA,Van Buren County,"47,905.00"
19,179,IA,Wapello County,"48,226.00"
19,181,IA,Warren County,"78,192.00"
19,183,IA,Washington County,"65,849.00"
19,185,IA,Wayne County,"46,725.00"
19,187,IA,Webster County,"52,093.00"
19,189,IA,Winnebago County,"54,433.00"
19,191,IA,Winneshiek County,"61,807.00"
19,193,IA,Woodbury County,"60,059.00"
19,195,IA,Worth County,"58,587.00"
19,197,IA,Wright County,"54,802.00"
20,000,KS,Kansas,"58,150.00"
20,001,KS,Allen County,"44,423.00"
20,003,KS,Anderson County,"50,646.00"
20,005,KS,Atchison County,"49,332.00"
20,007,KS,Barber County,"47,634.00"
20,009,KS,Barton County,"49,991.00"
20,011,KS,Bourbon County,"41,807.00"
20,013,KS,Brown County,"47,529.00"
20,015,KS,Butler County,"65,953.00"
20,017,KS,Chase County,"50,981.00"
20,019,KS,Chautauqua County,"41,129.00"
20,021,KS,Cherokee County,"44,475.00"
20,023,KS,Cheyenne County,"43,274.00"
20,025,KS,Clark County,"51,235.00"
20,027,KS,Clay County,"52,681.00"
20,029,KS,Cloud County,"44,467.00"
20,031,KS,Coffey County,"58,371.00"
20,033,KS,Comanche County,"46,818.00"
20,035,KS,Cowley County,"47,864.00"
20,037,KS,Crawford County,"43,852.00"
20,039,KS,Decatur County,"44,774.00"
20,041,KS,Dickinson County,"50,605.00"
20,043,KS,Doniphan County,"50,949.00"
20,045,KS,Douglas County,"57,120.00"
20,047,KS,Edwards County,"46,962.00"
20,049,KS,Elk County,"37,360.00"
20,051,KS,Ellis County,"53,840.00"
20,053,KS,Ellsworth County,"50,261.00"
20,055,KS,Finney County,"56,206.00"
20,057,KS,Ford County,"56,052.00"
20,059,KS,Franklin County,"58,033.00"
20,061,KS,Geary County,"50,856.00"
20,063,KS,Gove County,"49,626.00"
20,065,KS,Graham County,"41,906.00"
20,067,KS,Grant County,"61,614.00"
20,069,KS,Gray County,"65,771.00"
20,071,KS,Greeley County,"51,606.00"
20,073,KS,Greenwood County,"43,083.00"
20,075,KS,Hamilton County,"51,559.00"
20,077,KS,Harper County,"45,570.00"
20,079,KS,Harvey County,"57,934.00"
20,081,KS,Haskell County,"60,808.00"
20,083,KS,Hodgeman County,"54,058.00"
20,085,KS,Jackson County,"56,330.00"
20,087,KS,Jefferson County,"69,246.00"
20,089,KS,Jewell County,"44,271.00"
20,091,KS,Johnson County,"87,087.00"
20,093,KS,Kearny County,"63,248.00"
20,095,KS,Kingman County,"56,005.00"
20,097,KS,Kiowa County,"64,399.00"
20,099,KS,Labette County,"44,571.00"
20,101,KS,Lane County,"59,240.00"
20,103,KS,Leavenworth County,"70,807.00"
20,105,KS,Lincoln County,"44,439.00"
20,107,KS,Linn County,"47,153.00"
20,109,KS,Logan County,"50,267.00"
20,111,KS,Lyon County,"47,982.00"
20,113,KS,McPherson County,"58,017.00"
20,115,KS,Marion County,"51,712.00"
20,117,KS,Marshall County,"51,066.00"
20,119,KS,Meade County,"67,220.00"
20,121,KS,Miami County,"71,770.00"
20,123,KS,Mitchell County,"51,514.00"
20,125,KS,Montgomery County,"42,479.00"
20,127,KS,Morris County,"49,287.00"
20,129,KS,Morton County,"53,785.00"
20,131,KS,Nemaha County,"59,567.00"
20,133,KS,Neosho County,"46,176.00"
20,135,KS,Ness County,"51,757.00"
20,137,KS,Norton County,"47,252.00"
20,139,KS,Osage County,"53,864.00"
20,141,KS,Osborne County,"46,101.00"
20,143,KS,Ottawa County,"56,451.00"
20,145,KS,Pawnee County,"47,039.00"
20,147,KS,Phillips County,"47,405.00"
20,149,KS,Pottawatomie County,"69,975.00"
20,151,KS,Pratt County,"52,567.00"
20,153,KS,Rawlins County,"46,638.00"
20,155,KS,Reno County,"49,341.00"
20,157,KS,Republic County,"48,566.00"
20,159,KS,Rice County,"51,686.00"
20,161,KS,Riley County,"47,057.00"
20,163,KS,Rooks County,"47,365.00"
20,165,KS,Rush County,"44,121.00"
20,167,KS,Russell County,"45,879.00"
20,169,KS,Saline County,"53,961.00"
20,171,KS,Scott County,"63,790.00"
20,173,KS,Sedgwick County,"56,381.00"
20,175,KS,Seward County,"50,671.00"
20,177,KS,Shawnee County,"53,612.00"
20,179,KS,Sheridan County,"50,553.00"
20,181,KS,Sherman County,"45,966.00"
20,183,KS,Smith County,"41,899.00"
20,185,KS,Stafford County,"47,835.00"
20,187,KS,Stanton County,"60,136.00"
20,189,KS,Stevens County,"58,817.00"
20,191,KS,Sumner County,"56,946.00"
20,193,KS,Thomas County,"55,345.00"
20,195,KS,Trego County,"48,520.00"
20,197,KS,Wabaunsee County,"59,744.00"
20,199,KS,Wallace County,"51,350.00"
20,201,KS,Washington County,"48,104.00"
20,203,KS,Wichita County,"59,800.00"
20,205,KS,Wilson County,"45,697.00"
20,207,KS,Woodson County,"43,894.00"
20,209,KS,Wyandotte County,"47,084.00"
21,000,KY,Kentucky,"50,189.00"
21,001,KY,Adair County,"37,392.00"
21,003,KY,Allen County,"44,624.00"
21,005,KY,Anderson County,"60,908.00"
21,007,KY,Ballard County,"47,658.00"
21,009,KY,Barren County,"42,439.00"
21,011,KY,Bath County,"44,183.00"
21,013,KY,Bell County,"29,362.00"
21,015,KY,Boone County,"77,696.00"
21,017,KY,Bourbon County,"48,614.00"
21,019,KY,Boyd County,"48,020.00"
21,021,KY,Boyle County,"47,528.00"
21,023,KY,Bracken County,"56,432.00"
21,025,KY,Breathitt County,"31,182.00"
21,027,KY,Breckinridge County,"47,284.00"
21,029,KY,Bullitt County,"61,022.00"
21,031,KY,Butler County,"43,048.00"
21,033,KY,Caldwell County,"43,659.00"
21,035,KY,Calloway County,"41,873.00"
21,037,KY,Campbell County,"60,904.00"
21,039,KY,Carlisle County,"41,249.00"
21,041,KY,Carroll County,"47,623.00"
21,043,KY,Carter County,"32,906.00"
21,045,KY,Casey County,"34,358.00"
21,047,KY,Christian County,"40,299.00"
21,049,KY,Clark County,"50,162.00"
21,051,KY,Clay County,"28,146.00"
21,053,KY,Clinton County,"31,118.00"
21,055,KY,Crittenden County,"43,624.00"
21,057,KY,Cumberland County,"33,541.00"
21,059,KY,Daviess County,"51,441.00"
21,061,KY,Edmonson County,"43,151.00"
21,063,KY,Elliott County,"35,446.00"
21,065,KY,Estill County,"35,701.00"
21,067,KY,Fayette County,"55,358.00"
21,069,KY,Fleming County,"42,571.00"
21,071,KY,Floyd County,"33,218.00"
21,073,KY,Franklin County,"53,134.00"
21,075,KY,Fulton County,"32,355.00"
21,077,KY,Gallatin County,"49,060.00"
21,079,KY,Garrard County,"51,203.00"
21,081,KY,Grant County,"53,965.00"
21,083,KY,Graves County,"46,785.00"
21,085,KY,Grayson County,"40,780.00"
21,087,KY,Green County,"36,782.00"
21,089,KY,Greenup County,"49,457.00"
21,091,KY,Hancock County,"56,769.00"
21,093,KY,Hardin County,"52,278.00"
21,095,KY,Harlan County,"29,521.00"
21,097,KY,Harrison County,"51,709.00"
21,099,KY,Hart County,"37,038.00"
21,101,KY,Henderson County,"51,161.00"
21,103,KY,Henry County,"53,405.00"
21,105,KY,Hickman County,"44,290.00"
21,107,KY,Hopkins County,"45,512.00"
21,109,KY,Jackson County,"35,317.00"
21,111,KY,Jefferson County,"55,860.00"
21,113,KY,Jessamine County,"59,443.00"
21,115,KY,Johnson County,"39,381.00"
21,117,KY,Kenton County,"64,644.00"
21,119,KY,Knott County,"32,228.00"
21,121,KY,Knox County,"30,742.00"
21,123,KY,Larue County,"45,458.00"
21,125,KY,Laurel County,"41,425.00"
21,127,KY,Lawrence County,"36,667.00"
21,129,KY,Lee County,"29,124.00"
21,131,KY,Leslie County,"31,921.00"
21,133,KY,Letcher County,"32,321.00"
21,135,KY,Lewis County,"35,751.00"
21,137,KY,Lincoln County,"42,190.00"
21,139,KY,Livingston County,"48,182.00"
21,141,KY,Logan County,"46,742.00"
21,143,KY,Lyon County,"48,395.00"
21,145,KY,McCracken County,"48,950.00"
21,147,KY,McCreary County,"30,029.00"
21,149,KY,McLean County,"48,080.00"
21,151,KY,Madison County,"51,897.00"
21,153,KY,Magoffin County,"30,950.00"
21,155,KY,Marion County,"45,661.00"
21,157,KY,Marshall County,"52,388.00"
21,159,KY,Martin County,"28,925.00"
21,161,KY,Mason County,"41,807.00"
21,163,KY,Meade County,"57,613.00"
21,165,KY,Menifee County,"34,002.00"
21,167,KY,Mercer County,"53,921.00"
21,169,KY,Metcalfe County,"35,906.00"
21,171,KY,Monroe County,"35,596.00"
21,173,KY,Montgomery County,"46,629.00"
21,175,KY,Morgan County,"35,848.00"
21,177,KY,Muhlenberg County,"43,722.00"
21,179,KY,Nelson County,"55,602.00"
21,181,KY,Nicholas County,"41,428.00"
21,183,KY,Ohio County,"44,751.00"
21,185,KY,Oldham County,"102,136.00"
21,187,KY,Owen County,"48,998.00"
21,189,KY,Owsley County,"26,278.00"
21,191,KY,Pendleton County,"54,583.00"
21,193,KY,Perry County,"33,108.00"
21,195,KY,Pike County,"37,124.00"
21,197,KY,Powell County,"37,776.00"
21,199,KY,Pulaski County,"41,541.00"
21,201,KY,Robertson County,"45,146.00"
21,203,KY,Rockcastle County,"37,732.00"
21,205,KY,Rowan County,"41,196.00"
21,207,KY,Russell County,"34,648.00"
21,209,KY,Scott County,"73,500.00"
21,211,KY,Shelby County,"66,056.00"
21,213,KY,Simpson County,"51,769.00"
21,215,KY,Spencer County,"85,899.00"
21,217,KY,Taylor County,"45,429.00"
21,219,KY,Todd County,"51,027.00"
21,221,KY,Trigg County,"49,767.00"
21,223,KY,Trimble County,"51,674.00"
21,225,KY,Union County,"47,067.00"
21,227,KY,Warren County,"53,478.00"
21,229,KY,Washington County,"50,246.00"
21,231,KY,Wayne County,"33,701.00"
21,233,KY,Webster County,"47,132.00"
21,235,KY,Whitley County,"36,863.00"
21,237,KY,Wolfe County,"30,144.00"
21,239,KY,Woodford County,"66,164.00"
22,000,LA,Louisiana,"48,021.00"
22,001,LA,Acadia Parish,"40,484.00"
22,003,LA,Allen Parish,"44,395.00"
22,005,LA,Ascension Parish,"77,758.00"
22,007,LA,Assumption Parish,"48,120.00"
22,009,LA,Avoyelles Parish,"37,731.00"
22,011,LA,Beauregard Parish,"57,005.00"
22,013,LA,Bienville Parish,"34,047.00"
22,015,LA,Bossier Parish,"56,754.00"
22,017,LA,Caddo Parish,"40,467.00"
22,019,LA,Calcasieu Parish,"50,531.00"
22,021,LA,Caldwell Parish,"40,842.00"
22,023,LA,Cameron Parish,"57,299.00"
22,025,LA,Catahoula Parish,"35,812.00"
22,027,LA,Claiborne Parish,"33,659.00"
22,029,LA,Concordia Parish,"35,840.00"
22,031,LA,De Soto Parish,"44,457.00"
22,033,LA,East Baton Rouge Parish,"52,945.00"
22,035,LA,East Carroll Parish,"27,714.00"
22,037,LA,East Feliciana Parish,"45,174.00"
22,039,LA,Evangeline Parish,"34,113.00"
22,041,LA,Franklin Parish,"34,446.00"
22,043,LA,Grant Parish,"43,502.00"
22,045,LA,Iberia Parish,"42,909.00"
22,047,LA,Iberville Parish,"47,917.00"
22,049,LA,Jackson Parish,"40,828.00"
22,051,LA,Jefferson Parish,"50,871.00"
22,053,LA,Jefferson Davis Parish,"44,492.00"
22,055,LA,Lafayette Parish,"57,821.00"
22,057,LA,Lafourche Parish,"52,651.00"
22,059,LA,La Salle Parish,"45,742.00"
22,061,LA,Lincoln Parish,"36,525.00"
22,063,LA,Livingston Parish,"63,088.00"
22,065,LA,Madison Parish,"28,452.00"
22,067,LA,Morehouse Parish,"34,023.00"
22,069,LA,Natchitoches Parish,"36,298.00"
22,071,LA,Orleans Parish,"38,855.00"
22,073,LA,Ouachita Parish,"44,371.00"
22,075,LA,Plaquemines Parish,"58,643.00"
22,077,LA,Pointe Coupee Parish,"46,603.00"
22,079,LA,Rapides Parish,"48,116.00"
22,081,LA,Red River Parish,"36,865.00"
22,083,LA,Richland Parish,"35,103.00"
22,085,LA,Sabine Parish,"36,423.00"
22,087,LA,St. Bernard Parish,"43,983.00"
22,089,LA,St. Charles Parish,"67,585.00"
22,091,LA,St. Helena Parish,"38,699.00"
22,093,LA,St. James Parish,"53,903.00"
22,095,LA,St. John the Baptist Parish,"50,830.00"
22,097,LA,St. Landry Parish,"36,624.00"
22,099,LA,St. Martin Parish,"46,229.00"
22,101,LA,St. Mary Parish,"39,764.00"
22,103,LA,St. Tammany Parish,"67,054.00"
22,105,LA,Tangipahoa Parish,"47,128.00"
22,107,LA,Tensas Parish,"28,962.00"
22,109,LA,Terrebonne Parish,"51,665.00"
22,111,LA,Union Parish,"43,584.00"
22,113,LA,Vermilion Parish,"48,263.00"
22,115,LA,Vernon Parish,"47,664.00"
22,117,LA,Washington Parish,"36,850.00"
22,119,LA,Webster Parish,"35,070.00"
22,121,LA,West Baton Rouge Parish,"58,205.00"
22,123,LA,West Carroll Parish,"39,332.00"
22,125,LA,West Feliciana Parish,"60,296.00"
22,127,LA,Winn Parish,"40,133.00"
23,000,ME,Maine,"55,579.00"
23,001,ME,Androscoggin County,"49,935.00"
23,003,ME,Aroostook County,"39,450.00"
23,005,ME,Cumberland County,"71,586.00"
23,007,ME,Franklin County,"49,561.00"
23,009,ME,Hancock County,"52,148.00"
23,011,ME,Kennebec County,"52,154.00"
23,013,ME,Knox County,"56,678.00"
23,015,ME,Lincoln County,"56,211.00"
23,017,ME,Oxford County,"44,243.00"
23,019,ME,Penobscot County,"47,840.00"
23,021,ME,Piscataquis County,"40,066.00"
23,023,ME,Sagadahoc County,"65,969.00"
23,025,ME,Somerset County,"43,755.00"
23,027,ME,Waldo County,"49,482.00"
23,029,ME,Washington County,"39,522.00"
23,031,ME,York County,"65,984.00"
24,000,MD,Maryland,"83,076.00"
24,001,MD,Allegany County,"43,535.00"
24,003,MD,Anne Arundel County,"97,051.00"
24,005,MD,Baltimore County,"75,836.00"
24,009,MD,Calvert County,"106,270.00"
24,011,MD,Caroline County,"56,627.00"
24,013,MD,Carroll County,"95,956.00"
24,015,MD,Cecil County,"72,739.00"
24,017,MD,Charles County,"92,616.00"
24,019,MD,Dorchester County,"48,682.00"
24,021,MD,Frederick County,"95,196.00"
24,023,MD,Garrett County,"49,147.00"
24,025,MD,Harford County,"87,959.00"
24,027,MD,Howard County,"116,719.00"
24,029,MD,Kent County,"55,514.00"
24,031,MD,Montgomery County,"107,758.00"
24,033,MD,Prince George's County,"82,445.00"
24,035,MD,Queen Anne's County,"93,751.00"
24,037,MD,St. Mary's County,"89,964.00"
24,039,MD,Somerset County,"42,098.00"
24,041,MD,Talbot County,"64,245.00"
24,043,MD,Washington County,"62,556.00"
24,045,MD,Wicomico County,"54,313.00"
24,047,MD,Worcester County,"59,266.00"
24,510,MD,Baltimore city,"50,501.00"
25,000,MA,Massachusetts,"79,817.00"
25,001,MA,Barnstable County,"69,001.00"
25,003,MA,Berkshire County,"58,375.00"
25,005,MA,Bristol County,"66,005.00"
25,007,MA,Dukes County,"70,224.00"
25,009,MA,Essex County,"76,373.00"
25,011,MA,Franklin County,"58,992.00"
25,013,MA,Hampden County,"52,682.00"
25,015,MA,Hampshire County,"74,456.00"
25,017,MA,Middlesex County,"100,374.00"
25,019,MA,Nantucket County,"97,525.00"
25,021,MA,Norfolk County,"100,184.00"
25,023,MA,Plymouth County,"89,678.00"
25,025,MA,Suffolk County,"68,743.00"
25,027,MA,Worcester County,"71,767.00"
26,000,MI,Michigan,"56,640.00"
26,001,MI,Alcona County,"39,862.00"
26,003,MI,Alger County,"47,441.00"
26,005,MI,Allegan County,"62,247.00"
26,007,MI,Alpena County,"42,792.00"
26,009,MI,Antrim County,"56,456.00"
26,011,MI,Arenac County,"42,540.00"
26,013,MI,Baraga County,"43,435.00"
26,015,MI,Barry County,"64,121.00"
26,017,MI,Bay County,"50,576.00"
26,019,MI,Benzie County,"51,905.00"
26,021,MI,Berrien County,"51,509.00"
26,023,MI,Branch County,"50,477.00"
26,025,MI,Calhoun County,"48,413.00"
26,027,MI,Cass County,"55,978.00"
26,029,MI,Charlevoix County,"54,491.00"
26,031,MI,Cheboygan County,"48,589.00"
26,033,MI,Chippewa County,"47,380.00"
26,035,MI,Clare County,"39,394.00"
26,037,MI,Clinton County,"70,967.00"
26,039,MI,Crawford County,"46,930.00"
26,041,MI,Delta County,"49,292.00"
26,043,MI,Dickinson County,"52,348.00"
26,045,MI,Eaton County,"66,716.00"
26,047,MI,Emmet County,"58,891.00"
26,049,MI,Genesee County,"48,370.00"
26,051,MI,Gladwin County,"44,635.00"
26,053,MI,Gogebic County,"39,934.00"
26,055,MI,Grand Traverse County,"64,591.00"
26,057,MI,Gratiot County,"48,988.00"
26,059,MI,Hillsdale County,"50,388.00"
26,061,MI,Houghton County,"42,282.00"
26,063,MI,Huron County,"45,817.00"
26,065,MI,Ingham County,"52,837.00"
26,067,MI,Ionia County,"61,667.00"
26,069,MI,Iosco County,"41,256.00"
26,071,MI,Iron County,"40,959.00"
26,073,MI,Isabella County,"47,056.00"
26,075,MI,Jackson County,"52,047.00"
26,077,MI,Kalamazoo County,"55,881.00"
26,079,MI,Kalkaska County,"46,068.00"
26,081,MI,Kent County,"61,675.00"
26,083,MI,Keweenaw County,"51,641.00"
26,085,MI,Lake County,"36,044.00"
26,087,MI,Lapeer County,"65,209.00"
26,089,MI,Leelanau County,"67,349.00"
26,091,MI,Lenawee County,"55,762.00"
26,093,MI,Livingston County,"84,048.00"
26,095,MI,Luce County,"43,196.00"
26,097,MI,Mackinac County,"46,645.00"
26,099,MI,Macomb County,"62,191.00"
26,101,MI,Manistee County,"47,401.00"
26,103,MI,Marquette County,"54,093.00"
26,105,MI,Mason County,"51,083.00"
26,107,MI,Mecosta County,"45,804.00"
26,109,MI,Menominee County,"46,486.00"
